Step 26500: Accuracy(0.473016664088), Loss(0.00818755756288)
Step 26600: Accuracy(0.470333330582), Loss(0.00816371761806)
Step 26700: Accuracy(0.469433330248), Loss(0.00819649098751)
Step 26800: Accuracy(0.470466664135), Loss(0.00819490735109)
Step 26900: Accuracy(0.465133330574), Loss(0.0082320560934)
Step 27000: Accuracy(0.472066663603), Loss(0.0081507934009)
Step 27100: Accuracy(0.470266664773), Loss(0.00822405028235)
Step 27200: Accuracy(0.470566663295), Loss(0.00817191860561)
Step 27300: Accuracy(0.469266663939), Loss(0.00817199819333)
Step 27400: Accuracy(0.469833329668), Loss(0.00819970501664)
Step 27500: Accuracy(0.471083329668), Loss(0.00825592206869)
Step 27600: Accuracy(0.471383330176), Loss(0.00821602573541)
Step 27700: Accuracy(0.470633330991), Loss(0.00819672159773)
Step 27800: Accuracy(0.469899997264), Loss(0.00820009841816)
Step 27900: Accuracy(0.47411666433), Loss(0.0082314595355)
Step 28000: Accuracy(0.469416664839), Loss(0.00822585717697)
Step 28100: Accuracy(0.468549996316), Loss(0.00821974470358)
Step 28200: Accuracy(0.468566663812), Loss(0.00822700952335)
Step 28300: Accuracy(0.472933331231), Loss(0.00815688795332)
Step 28400: Accuracy(0.468466664006), Loss(0.00819555880114)
Step 28500: Accuracy(0.472083329956), Loss(0.00821574253961)
Step 28600: Accuracy(0.467683330625), Loss(0.00825951621945)
Step 28700: Accuracy(0.47149999693), Loss(0.00817460304204)
Step 28800: Accuracy(0.470649996847), Loss(0.00818797644616)
Step 28900: Accuracy(0.471849996199), Loss(0.00815589039742)
Step 29000: Accuracy(0.470633329898), Loss(0.00816408642102)
Step 29100: Accuracy(0.47351666222), Loss(0.00821583502538)
Step 29200: Accuracy(0.475466663738), Loss(0.00825532513283)
Step 29300: Accuracy(0.471666663488), Loss(0.00821076736087)
Step 29400: Accuracy(0.471066664209), Loss(0.00826636646797)
Step 29500: Accuracy(0.471916663051), Loss(0.00818624027539)
Step 29600: Accuracy(0.467766665022), Loss(0.00819710664141)
Step 29700: Accuracy(0.471983330349), Loss(0.00833949741597)
Step 29800: Accuracy(0.469149996936), Loss(0.00822694658069)
Step 29900: Accuracy(0.470933330655), Loss(0.00814791231571)
Step 30000: Accuracy(0.472716662685), Loss(0.00817963237952)
Step 30100: Accuracy(0.473233330498), Loss(0.00821725291976)
Step 30200: Accuracy(0.472249996463), Loss(0.00815329526318)
Step 30300: Accuracy(0.46921666349), Loss(0.00819820026945)
Step 30400: Accuracy(0.474999996871), Loss(0.00823447867529)
Step 30500: Accuracy(0.469866663466), Loss(0.00820729141201)
Step 30600: Accuracy(0.468433329562), Loss(0.00815983892729)
Step 30700: Accuracy(0.473999997129), Loss(0.00819809855195)
Step 30800: Accuracy(0.475216663231), Loss(0.00820281254749)
Step 30900: Accuracy(0.469533330252), Loss(0.00823814559573)
Step 31000: Accuracy(0.473583330264), Loss(0.00826060377527)
Step 31100: Accuracy(0.471666664481), Loss(0.00815567024595)
Step 31200: Accuracy(0.473249996255), Loss(0.008207904601)
Step 31300: Accuracy(0.474166664431), Loss(0.00811189797862)
Step 31400: Accuracy(0.473666663965), Loss(0.00812569643293)
Step 31500: Accuracy(0.475816663752), Loss(0.00813863791448)
Step 31600: Accuracy(0.471933330297), Loss(0.00817054622651)
Step 31700: Accuracy(0.473749996424), Loss(0.00819111194927)
Step 31800: Accuracy(0.473383330305), Loss(0.00811820252178)
Step 31900: Accuracy(0.472216663808), Loss(0.00818978063219)
Step 32000: Accuracy(0.474649997403), Loss(0.00818355171631)
Step 32100: Accuracy(0.474299997042), Loss(0.00816918498992)
Step 32200: Accuracy(0.472516664167), Loss(0.00813197786765)
Step 32300: Accuracy(0.472049997399), Loss(0.00819278243231)
Step 32400: Accuracy(0.47316666459), Loss(0.00819582596188)
Step 32500: Accuracy(0.475416663537), Loss(0.00819575630827)
Step 32600: Accuracy(0.477083330353), Loss(0.00819174336347)
Step 32700: Accuracy(0.475399997334), Loss(0.00816444679008)
Step 32800: Accuracy(0.474883329223), Loss(0.00812367281877)
Step 32900: Accuracy(0.472216664006), Loss(0.00814168488452)
Step 33000: Accuracy(0.47331666405), Loss(0.00820686811193)
Step 33100: Accuracy(0.474449996104), Loss(0.00812984297207)
Step 33200: Accuracy(0.475566663742), Loss(0.00815322686064)
Step 33300: Accuracy(0.473383330752), Loss(0.00813302127877)
Step 33400: Accuracy(0.472466664215), Loss(0.00818431069764)
Step 33500: Accuracy(0.472299997111), Loss(0.00815957725203)
Step 33600: Accuracy(0.478833330274), Loss(0.00810547094637)
Step 33700: Accuracy(0.473966663728), Loss(0.00830900973951)
Step 33800: Accuracy(0.476366663973), Loss(0.00809972279162)
Step 33900: Accuracy(0.473183329999), Loss(0.00813425952957)
Step 34000: Accuracy(0.477616663675), Loss(0.00812308445883)
Step 34100: Accuracy(0.475549997091), Loss(0.00815076028074)
Step 34200: Accuracy(0.475016664316), Loss(0.00813667796087)
Step 34300: Accuracy(0.466749997685), Loss(0.00822179721901)
Step 34400: Accuracy(0.477449996322), Loss(0.00821730534857)
Step 34500: Accuracy(0.473783330321), Loss(0.00811206569507)
