Step 30600: Accuracy(0.470733330448), Loss(0.00829138790956)
Step 30700: Accuracy(0.473549996813), Loss(0.00824231860694)
Step 30800: Accuracy(0.46356666411), Loss(0.00851845757104)
Step 30900: Accuracy(0.46481666406), Loss(0.00840309879898)
Step 31000: Accuracy(0.468999997328), Loss(0.00829983868248)
Step 31100: Accuracy(0.469999997218), Loss(0.0083497567079)
Step 31200: Accuracy(0.472149997105), Loss(0.00825066050515)
Step 31300: Accuracy(0.470733330548), Loss(0.00822835933262)
Step 31400: Accuracy(0.473866663526), Loss(0.00836239502843)
Step 31500: Accuracy(0.473599996169), Loss(0.0082355203658)
Step 31600: Accuracy(0.472416664213), Loss(0.00834361144962)
Step 31700: Accuracy(0.470633330743), Loss(0.0083787400291)
Step 31800: Accuracy(0.4721166643), Loss(0.0084159299056)
Step 31900: Accuracy(0.476716663341), Loss(0.00834834428116)
Step 32000: Accuracy(0.470599996746), Loss(0.00828505395834)
Step 32100: Accuracy(0.475399997383), Loss(0.00827949043363)
Step 32200: Accuracy(0.474599996507), Loss(0.00826406435808)
Step 32300: Accuracy(0.473549996614), Loss(0.00825122537867)
Step 32400: Accuracy(0.471399997175), Loss(0.00826166999759)
Step 32500: Accuracy(0.472633329928), Loss(0.00829592792705)
Step 32600: Accuracy(0.474716663708), Loss(0.00828283374974)
Step 32700: Accuracy(0.473899996678), Loss(0.00825877413852)
Step 32800: Accuracy(0.476899996648), Loss(0.00822007857185)
Step 32900: Accuracy(0.47226666376), Loss(0.00823385519131)
Step 33000: Accuracy(0.474999996771), Loss(0.00834656048488)
Step 33100: Accuracy(0.473566664557), Loss(0.00821688885878)
Step 33200: Accuracy(0.480949997505), Loss(0.00817686025985)
Step 33300: Accuracy(0.474783329914), Loss(0.00819305889386)
Step 33400: Accuracy(0.470083330075), Loss(0.00830465236291)
Step 33500: Accuracy(0.465099996924), Loss(0.00843716082008)
Step 33600: Accuracy(0.467416663369), Loss(0.00830924764819)
Step 33700: Accuracy(0.470049996525), Loss(0.00834177660911)
Step 33800: Accuracy(0.474866663267), Loss(0.00831879486563)
Step 33900: Accuracy(0.473333330154), Loss(0.00831823483808)
Step 34000: Accuracy(0.475016664416), Loss(0.00829560708255)
Step 34100: Accuracy(0.472016663998), Loss(0.00833965463641)
Step 34200: Accuracy(0.473799996724), Loss(0.00822814353586)
Step 34300: Accuracy(0.469866663814), Loss(0.00838063574629)
Step 34400: Accuracy(0.47651666368), Loss(0.00818943745457)
Step 34500: Accuracy(0.474149997433), Loss(0.00820698395139)
Step 34600: Accuracy(0.477016664247), Loss(0.00820115245103)
Step 34700: Accuracy(0.475916663458), Loss(0.00827234276105)
Step 34800: Accuracy(0.474616664847), Loss(0.0082776300741)
Step 34900: Accuracy(0.472633330524), Loss(0.00825284866461)
Step 35000: Accuracy(0.475166663527), Loss(0.00825592297595)
Step 35100: Accuracy(0.477166663955), Loss(0.00826651149352)
Step 35200: Accuracy(0.473849997222), Loss(0.00820036590022)
