Step 25400: Accuracy(0.539333330393), Loss(0.00714000661857)
Step 25500: Accuracy(0.540899997205), Loss(0.00717081098119)
Step 25600: Accuracy(0.54766666462), Loss(0.00708668754203)
Step 25700: Accuracy(0.541799997687), Loss(0.00719783379386)
Step 25800: Accuracy(0.541516665022), Loss(0.00721755023347)
Step 25900: Accuracy(0.540949997207), Loss(0.00714730219295)
Step 26000: Accuracy(0.54226666381), Loss(0.00712418022255)
Step 26100: Accuracy(0.541033331404), Loss(0.0071300409936)
Step 26200: Accuracy(0.543366663257), Loss(0.00713980081414)
Step 26300: Accuracy(0.544866663764), Loss(0.00728117053319)
Step 26400: Accuracy(0.543133331239), Loss(0.00712004265282)
Step 26500: Accuracy(0.537133329312), Loss(0.00720650098985)
Step 26600: Accuracy(0.537449995428), Loss(0.00730101612707)
Step 26700: Accuracy(0.536949997246), Loss(0.00733364154895)
Step 26800: Accuracy(0.540849997352), Loss(0.00718229821185)
Step 26900: Accuracy(0.53751666382), Loss(0.00725853600694)
Step 27000: Accuracy(0.539616664102), Loss(0.00714264513071)
Step 27100: Accuracy(0.541083330015), Loss(0.00717231313155)
Step 27200: Accuracy(0.542383330713), Loss(0.00735825760368)
Step 27300: Accuracy(0.542683330278), Loss(0.00713358574547)
Step 27400: Accuracy(0.541933331589), Loss(0.0072652712022)
Step 27500: Accuracy(0.542649996231), Loss(0.00708195162161)
Step 27600: Accuracy(0.542399997314), Loss(0.00723551840832)
Step 27700: Accuracy(0.543499997209), Loss(0.00723110814501)
Step 27800: Accuracy(0.539866663267), Loss(0.00713212426286)
Step 27900: Accuracy(0.542533331066), Loss(0.00722941387833)
Step 28000: Accuracy(0.524833329519), Loss(0.00732887470163)
Step 28100: Accuracy(0.541299997667), Loss(0.00716101212194)
Step 28200: Accuracy(0.543499997507), Loss(0.00716119036622)
Step 28300: Accuracy(0.546099996269), Loss(0.00712749307199)
Step 28400: Accuracy(0.540583330244), Loss(0.00713938358473)
Step 28500: Accuracy(0.539233330786), Loss(0.00713891753772)
Step 28600: Accuracy(0.539649997453), Loss(0.00729729480265)
Step 28700: Accuracy(0.542083330452), Loss(0.00710920525094)
Step 28800: Accuracy(0.539849996567), Loss(0.00714629048482)
Step 28900: Accuracy(0.541916664292), Loss(0.00731207364006)
Step 29000: Accuracy(0.539483330647), Loss(0.00722592324174)
