Step 19600: Accuracy(0.51989999786), Loss(0.00746714831951)
Step 19700: Accuracy(0.521383330425), Loss(0.0075134175752)
Step 19800: Accuracy(0.523649997065), Loss(0.00742966731001)
Step 19900: Accuracy(0.517033328911), Loss(0.00756031851827)
Step 20000: Accuracy(0.514149996241), Loss(0.00755612245994)
Step 20100: Accuracy(0.514149997234), Loss(0.00755612247701)
Step 20200: Accuracy(0.527799996138), Loss(0.00734808224253)
Step 20300: Accuracy(0.530999996712), Loss(0.0073752432464)
Step 20400: Accuracy(0.523216663251), Loss(0.00740034093149)
Step 20500: Accuracy(0.527933330089), Loss(0.00737502142321)
Step 20600: Accuracy(0.530466664632), Loss(0.00735108367944)
Step 20700: Accuracy(0.529433331142), Loss(0.00729360197283)
Step 20800: Accuracy(0.527433330019), Loss(0.00732128212151)
Step 20900: Accuracy(0.530833331645), Loss(0.00732712327658)
Step 21000: Accuracy(0.530366663883), Loss(0.00728857568232)
Step 21100: Accuracy(0.530499996791), Loss(0.00729814782351)
Step 21200: Accuracy(0.533066663941), Loss(0.00730938474958)
Step 21300: Accuracy(0.530166663677), Loss(0.00733947938851)
Step 21400: Accuracy(0.528533330758), Loss(0.00734299122278)
Step 21500: Accuracy(0.527266662717), Loss(0.00736520358284)
Step 21600: Accuracy(0.528699997862), Loss(0.00734484198969)
Step 21700: Accuracy(0.531066663414), Loss(0.00731712755204)
Step 21800: Accuracy(0.528466664205), Loss(0.00735792165234)
Step 21900: Accuracy(0.532216664255), Loss(0.00727289200062)
Step 22000: Accuracy(0.528066663444), Loss(0.00731650287363)
Step 22100: Accuracy(0.531299996773), Loss(0.00731080575303)
Step 22200: Accuracy(0.53323333015), Loss(0.00728861491506)
Step 22300: Accuracy(0.530166663031), Loss(0.00727201847204)
Step 22400: Accuracy(0.532499997069), Loss(0.00735007914637)
Step 22500: Accuracy(0.530866662711), Loss(0.00729514268382)
Step 22600: Accuracy(0.533383329809), Loss(0.0072403744647)
Step 22700: Accuracy(0.527416664114), Loss(0.00733695701153)
Step 22800: Accuracy(0.530466664483), Loss(0.00727282759423)
Step 22900: Accuracy(0.529483331442), Loss(0.00735740398678)
Step 23000: Accuracy(0.529616663506), Loss(0.00729869961894)
Step 23100: Accuracy(0.531733330488), Loss(0.00726210323162)
